,id,account,account_screenname,account_location,account_followers,account_following,account_age_days,account_description,is_retweet,original_author,tweeted_on,count_retweeted,count_favorited,hashtags,tweet_text
0,1297617101666971648,Joe Biden,JoeBiden,"Wilmington, DE",8826401,28,4913,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-23 19:30:00,2692,13541,,"America is at an inflection point. 

We can choose the path of becoming angrier, less hopeful, and more divided.

Or we can choose a different path, and together, take this chance to heal, to be reborn, to unite. A path of hope and light."
1,1297595030002180099,Joe Biden,JoeBiden,"Wilmington, DE",8826401,28,4913,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-23 18:02:17,4525,19819,,"31 years after they joined hands to demand freedom from Soviet oppression, citizens of the Baltic states formed a human chain in solidarity with Belarusians fighting to throw off the chains of dictatorship.

We stand with the people of Belarus as we stood with the Baltic nations. https://t.co/i1wVnU0wkZ"
2,1297570544867475458,Joe Biden,JoeBiden,"Wilmington, DE",8826401,28,4913,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-23 16:25:00,12142,90877,,"I give you my word: If you entrust me with the presidency, I will draw on the best of us, not the worst. I will be an ally of the light, not of the darkness."
3,1297546385760419841,Joe Biden,JoeBiden,"Wilmington, DE",8826401,28,4913,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-23 14:49:00,3891,21278,,"In times as challenging as these, I believe there is only one way forward: As a united America. https://t.co/ZRssx1GB2o"
4,1297318886573047813,Joe Biden,JoeBiden,"Wilmington, DE",8826401,28,4913,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-22 23:45:00,13536,90357,,"If I'm elected, I promise I'll work as hard for those who didn't support me as I will for those who did. https://t.co/s4WIuSfLRL"
5,1297288687630389250,Joe Biden,JoeBiden,"Wilmington, DE",8826401,28,4913,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-22 21:45:00,6371,34809,,We can be the generation that finally wipes out the stain of racism from our national character. I believe the American people are up to it. https://t.co/h4qNoQPmDp
6,1297258488561836036,Joe Biden,JoeBiden,"Wilmington, DE",8826401,28,4913,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-22 19:45:00,41067,251844,,"Love is more powerful than hate. 

Hope is more powerful than fear. 

Light is more powerful than darkness.  

This is our moment. This is our mission."
7,1297228289497415683,Joe Biden,JoeBiden,"Wilmington, DE",8826401,28,4913,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-22 17:45:00,4415,23833,,It will be the work of the next president to restore the promise of America — for everyone. That’s my commitment to you. https://t.co/UTclDfd8Jm
8,1297206657576046595,Joe Biden,JoeBiden,"Wilmington, DE",8826401,28,4913,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-22 16:19:02,3492,23467,,"America is a nation of immigrants. Each new generation that comes to our country makes us stronger. That became even truer yesterday when @luisanaperezf, part of our campaign team in Florida, became a U.S. citizen.

Thanks for choosing us, Luisana. https://t.co/K842eGj5tK"
9,1297190540941950976,Joe Biden,JoeBiden,"Wilmington, DE",8826401,28,4913,"Senator, Vice President, 2020 candidate for President of the United States, husband to @DrBiden, proud father & grandfather. Loves ice cream, aviators & @Amtrak",0,JoeBiden,2020-08-22 15:15:00,7995,43191,,We can’t take four more years of Donald Trump. https://t.co/qGIng24mli
